Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AB-3009	1	61735	86341	15	-0.683
TCGA-AB-3009	1	98588	3166089	717	0.3069
TCGA-AB-3009	1	3169157	9308037	3956	0.0039
TCGA-AB-3009	1	9315847	9404980	60	0.2934
TCGA-AB-3009	1	9406979	12845863	1777	0.0104
TCGA-AB-3009	1	12852748	13717824	87	0.2547
TCGA-AB-3009	1	13724101	16013985	1725	0.0039
TCGA-AB-3009	1	16015319	16087824	27	0.4073
TCGA-AB-3009	1	16087996	17235698	480	0.0326
TCGA-AB-3009	1	17235852	17324445	66	0.3422
TCGA-AB-3009	1	17325955	17599942	223	0.0092
TCGA-AB-3009	1	17600317	17610913	7	0.6975
TCGA-AB-3009	1	17611288	21688903	2738	0.0059
TCGA-AB-3009	1	21691897	21722271	18	0.4666
TCGA-AB-3009	1	21723129	22152194	251	0.0031
TCGA-AB-3009	1	22160111	22160257	2	-1.5736
TCGA-AB-3009	1	22164164	22297426	79	0.0459
TCGA-AB-3009	1	22298285	22368208	32	0.4727
TCGA-AB-3009	1	22371404	25453295	1813	0.0047
TCGA-AB-3009	1	25455525	25455535	2	2.0904
TCGA-AB-3009	1	25455892	25583341	86	0.0113
TCGA-AB-3009	1	25593128	25646689	25	-1.7895
TCGA-AB-3009	1	25646744	31139580	2746	0.009
TCGA-AB-3009	1	31139947	31262005	85	0.2876
TCGA-AB-3009	1	31262837	32894381	769	0.0169
TCGA-AB-3009	1	32896119	32900848	2	1.2134
TCGA-AB-3009	1	32901240	35088484	1366	-0.003
TCGA-AB-3009	1	35091458	35117925	28	0.3763
TCGA-AB-3009	1	35118031	37774697	1415	-0.0109
TCGA-AB-3009	1	37776298	37779966	3	1.1727
TCGA-AB-3009	1	37780362	37892154	74	-0.0322
TCGA-AB-3009	1	37892550	37921043	12	0.519
TCGA-AB-3009	1	37923399	39132432	688	0.007
TCGA-AB-3009	1	39132433	39135250	4	-1.0914
TCGA-AB-3009	1	39135266	40097518	499	0.0169
TCGA-AB-3009	1	40104461	40153748	27	0.3548
TCGA-AB-3009	1	40154634	48841815	5019	-0.0034
TCGA-AB-3009	1	48844612	48863365	10	0.5825
TCGA-AB-3009	1	48863987	71312920	15223	0.0016
TCGA-AB-3009	1	71314224	71340070	18	-1.1295
TCGA-AB-3009	1	71349408	72768916	854	0.0045
TCGA-AB-3009	1	72768936	72811148	45	-1.6458
TCGA-AB-3009	1	72811904	94978199	14277	0.0044
TCGA-AB-3009	1	94979573	95002211	17	-0.9862
TCGA-AB-3009	1	95005105	148870937	17775	-0.0059
TCGA-AB-3009	1	148893345	149521846	181	0.6989
TCGA-AB-3009	1	149545372	152555527	1496	0.0164
