cytoband	5q31.2	7q32.3	17q11.2	7p12.1	16q23.1	12p13.2	3p13	18p11.21	12q21.33	17p13.2	20q13.13	9q21.32	
q value	1.2971e-07	3.4101e-05	0.0003238	0.00078337	0.0010312	0.0023827	0.020059	0.020884	0.097556	0.12511	0.14746	0.24147	
residual q value	1.2971e-07	3.4101e-05	0.0003238	0.00078337	0.00096181	0.0024153	0.020059	0.022472	0.09527	0.11895	0.15019	0.24355	
wide peak boundaries	chr5:112352080-156195999	chr7:126055410-159138663	chr17:28936804-29722618	chr7:50632522-51004541	chr16:66750041-90354753	chr12:11415451-13714180	chr3:64670406-75960297	chr18:12273033-13664017	chr12:88430194-96043393	chr17:1-7744654	chr20:30824328-55265903	chr9:1-141213431	
genes in wide peak	RNA5SP199	LINC00689	EVI2A	SNORA4|ENSG00000201133.1	FAM157C	RNA5SP353	RN7SL92P	MIR4526	KRT19P2	RPL29P2	RN7SL170P	FAM157B	
	RN7SL439P	MIR595	RN7SL138P	GRB10	TUBB8P7	HTR7P1	ZNF717	MIR5190	RN7SL483P	snoU13|ENSG00000251860.1	U3|ENSG00000252536.1	TUBBP5	
	RN7SL655P	RN7SL142P	TEFM		URAHP	SNORD88	LINC00960	snoU13|ENSG00000238309.1	RN7SL330P	SNORD10	FAM209A	MRPL41	
	MIR1294	SHH	SUZ12P		TUBB3	GPRC5A	FAM86DP	LDLRAD4	RN7SKP263	SNORA48|ENSG00000209582.1	GCNT7	snoU13|ENSG00000272272.1	
	RN7SL177P	RN7SKP280	RN7SL316P		SNORD68	MIR613	RN7SL294P	PTPN2	RN7SL630P	SNORA67|ENSG00000264772.2	snoU13|ENSG00000238294.1	RNF224	
	RNA5SP198	HTR5A	LRRC37BP1		SLC22A31	DUSP16	snoU13|ENSG00000238416.1	SLMO1	RN7SL737P	SLC35G6	RNA5SP487	TMEM210	
	RN7SKP232	RN7SL845P	EVI2B		MIR4722	LOH12CR2	GXYLT2	AFG3L2	UBE2N	GABARAP	RNU4ATAC7P	MIR3621	
	RNA5SP197	RN7SL811P	NF1		MIR5189	CDKN1B	RNA5SP136	CEP192	snoU13|ENSG00000239073.1	ALOX12P2	RN7SKP184	snoU13|ENSG00000238824.1	
	ZNF300P1	SNORA26|ENSG00000212590.1	OMG		ZFPM1	CREBL2	snoU13|ENSG00000238568.1	SPIRE1	SNORD74|ENSG00000201502.1	TEKT1	RN7SL603P	SNORD62	
	snoU13|ENSG00000239191.1	snoU13|ENSG00000238557.1	CRLF3		ZNF469	EMP1	RYBP	PSMG2	snoU13|ENSG00000238361.1	C17orf100	MIR3194	CLIC3	
	snoU13|ENSG00000238369.1	RNA5SP250	ADAP2		FLJ00104	ETV6	LINC00870	CEP76	snoU13|ENSG00000238865.1	RNA5SP435	RN7SL672P	C9orf141	
	MIR378A	FABP5P3	ATAD5		FBXO31	GPR19	LINC00877	SEH1L	BTG1	DERL2	RN7SL636P	MIR4479	
	RN7SL868P	snoU13|ENSG00000239045.1	RNF135		snoU13|ENSG00000239186.1	LRP6	RN7SL271P	TUBB6	LUM	RN7SL784P	LINC00651	C9orf172	
	U3|ENSG00000221043.1	RN7SL76P	MIR4733		FENDRR	PRB1	GPR27		LINC00615	RN7SL171P	snoU13|ENSG00000239157.1	MIR4292	
