Hugo_Symbol	refseq.ID	protein.ID	aa.length
A1BG	NM_130786	NP_570602	495
A1CF	NM_001198819	NP_001185748	602
A2M	NM_000014	NP_000005	1474
A2ML1	NM_144670	NP_653271	1454
A4GALT	NM_017436	NP_059132	353
A4GNT	NM_016161	NP_057245	340
AAAS	NM_015665	NP_056480	546
AACS	NM_023928	NP_076417	672
AADAC	NM_001086	NP_001077	399
AADACL2	NM_207365	NP_997248	401
AADACL3	NM_001103170	NP_001096640	350
AADACL4	NM_001013630	NP_001013652	407
AADAT	NM_182662	NP_872603	425
AAED1	NM_153698	NP_714542	226
AAGAB	NM_024666	NP_078942	315
AAK1	NM_014911	NP_055726	961
AAMDC	NM_024684	NP_078960	122
AAMP	NM_001087	NP_001078	434
AANAT	NM_001166579	NP_001160051	252
AAR2	NM_015511	NP_056326	384
AARS	NM_001605	NP_001596	968
AARS2	NM_020745	NP_065796	985
AARSD1	NM_001261434	NP_001248363	412
AASDH	NM_181806	NP_861522	1098
AASDHPPT	NM_015423	NP_056238	309
AASS	NM_005763	NP_005754	926
AATF	NM_012138	NP_036270	560
AATK	NM_001080395	NP_001073864	1374
ABAT	NM_020686	NP_065737	500
ABCA1	NM_005502	NP_005493	2261
ABCA10	NM_080282	NP_525021	1543
ABCA12	NM_173076	NP_775099	2595
ABCA13	NM_152701	NP_689914	5058
ABCA2	NM_212533	NP_997698	2466
ABCA3	NM_001089	NP_001080	1704
ABCA4	NM_000350	NP_000341	2273
ABCA5	NM_172232	NP_758424	1642
ABCA6	NM_080284	NP_525023	1617
ABCA7	NM_019112	NP_061985	2146
ABCA8	NM_007168	NP_009099	1581
ABCA9	NM_080283	NP_525022	1624
ABCB1	NM_000927	NP_000918	1280
ABCB10	NM_012089	NP_036221	738
ABCB11	NM_003742	NP_003733	1321
ABCB4	NM_018849	NP_061337	1286
ABCB5	NM_001163941	NP_001157413	1257
ABCB6	NM_005689	NP_005680	842
ABCB7	NM_004299	NP_004290	753
ABCB8	NM_007188	NP_009119	718
ABCB9	NM_019625	NP_062571	766
ABCC1	NM_004996	NP_004987	1531
ABCC10	NM_001198934	NP_001185863	1492
ABCC11	NM_033151	NP_149163	1382
ABCC12	NM_033226	NP_150229	1359
ABCC2	NM_000392	NP_000383	1545
ABCC3	NM_003786	NP_003777	1527
ABCC4	NM_005845	NP_005836	1325
ABCC5	NM_005688	NP_005679	1437
ABCC6	NM_001171	NP_001162	1503
ABCC8	NM_000352	NP_000343	1581
ABCC9	NM_020297	NP_064693	1549
ABCD1	NM_000033	NP_000024	745
ABCD2	NM_005164	NP_005155	740
ABCD3	NM_002858	NP_002849	659
ABCD4	NM_005050	NP_005041	606
ABCE1	NM_002940	NP_002931	599
ABCF1	NM_001025091	NP_001020262	845
ABCF2	NM_005692	NP_005683	634
ABCF3	NM_018358	NP_060828	709
ABCG1	NM_004915	NP_004906	678
ABCG2	NM_004827	NP_004818	655
ABCG4	NM_022169	NP_071452	646
ABCG5	NM_022436	NP_071881	651
ABCG8	NM_022437	NP_071882	673
ABHD1	NM_032604	NP_115993	405
ABHD10	NM_018394	NP_060864	306
ABHD11	NM_148912	NP_683710	315
ABHD12	NM_015600	NP_056415	404
ABHD12B	NM_001206673	NP_001193602	362
ABHD13	NM_032859	NP_116248	337
ABHD14A	NM_015407	NP_056222	271
ABHD14B	NM_032750	NP_116139	210
ABHD15	NM_198147	NP_937790	468
ABHD16A	NM_021160	NP_066983	558
ABHD16B	NM_080622	NP_542189	469
ABHD2	NM_152924	NP_690888	425
ABHD3	NM_138340	NP_612213	409
ABHD4	NM_022060	NP_071343	342
ABHD5	NM_016006	NP_057090	349
ABHD6	NM_020676	NP_065727	337
ABHD8	NM_024527	NP_078803	439
ABI1	NM_005470	NP_005461	508
ABI2	NM_005759	NP_005750	475
ABI3	NM_016428	NP_057512	366
ABI3BP	NM_015429	NP_056244	1075
ABL1	NM_007313	NP_009297	1149
ABL2	NM_007314	NP_009298	1182
ABLIM1	NM_002313	NP_002304	778
ABLIM2	NM_001130083	NP_001123555	645
ABLIM3	NM_014945	NP_055760	683
ABO	NM_020469	NP_065202	354
ABP1	NM_001091	NP_001082	751
ABR	NM_021962	NP_068781	859
ABT1	NM_013375	NP_037507	272
ABTB1	NM_172027	NP_742024	478
ABTB2	NM_145804	NP_665803	1025
ACAA1	NM_001607	NP_001598	424
ACAA2	NM_006111	NP_006102	397
ACACA	NM_198834	NP_942131	2383
ACACB	NM_001093	NP_001084	2458
ACAD10	NM_001136538	NP_001130010	1090
ACAD11	NM_032169	NP_115545	780
ACAD8	NM_014384	NP_055199	415
ACAD9	NM_014049	NP_054768	621
ACADL	NM_001608	NP_001599	430
ACADM	NM_001127328	NP_001120800	425
ACADS	NM_000017	NP_000008	412
ACADSB	NM_001609	NP_001600	432
ACADVL	NM_001270447	NP_001257376	678
ACAN	NM_013227	NP_037359	2530
ACAP1	NM_014716	NP_055531	740
ACAP2	NM_012287	NP_036419	778
ACAP3	NM_030649	NP_085152	834
ACAT1	NM_000019	NP_000010	427
ACAT2	NM_005891	NP_005882	397
ACBD3	NM_022735	NP_073572	528
ACBD4	NM_001135704	NP_001129176	341
ACBD5	NM_145698	NP_663736	525
ACBD6	NM_032360	NP_115736	282
ACBD7	NM_001039844	NP_001034933	88
ACCS	NM_032592	NP_115981	501
ACCSL	NM_001031854	NP_001027025	568
ACD	NM_001082486	NP_001075955	544
ACE	NM_000789	NP_000780	1306
ACE2	NM_021804	NP_068576	805
ACER1	NM_133492	NP_597999	264
ACER2	NM_001010887	NP_001010887	275
ACER3	NM_018367	NP_060837	267
ACHE	NM_015831	NP_056646	617
ACIN1	NM_014977	NP_055792	1341
ACLY	NM_001096	NP_001087	1101
ACMSD	NM_138326	NP_612199	336
ACN9	NM_020186	NP_064571	125
ACO1	NM_002197	NP_002188	889
ACO2	NM_001098	NP_001089	780
ACOT1	NM_001037161	NP_001032238	421
ACOT11	NM_015547	NP_056362	607
ACOT12	NM_130767	NP_570123	555
ACOT13	NM_018473	NP_060943	140
ACOT2	NM_006821	NP_006812	483
ACOT4	NM_152331	NP_689544	421
ACOT6	NM_001037162	NP_001032239	207
ACOT7	NM_181864	NP_863654	380
ACOT8	NM_005469	NP_005460	319
ACOT9	NM_001037171	NP_001032248	448
ACOX1	NM_004035	NP_004026	660
ACOX2	NM_003500	NP_003491	681
ACOX3	NM_003501	NP_003492	700
ACOXL	NM_001142807	NP_001136279	580
ACP1	NM_004300	NP_004291	158
ACP2	NM_001610	NP_001601	423
ACP5	NM_001611	NP_001602	325
ACP6	NM_016361	NP_057445	428
ACPL2	NM_001037172	NP_001032249	480
ACPP	NM_001134194	NP_001127666	418
ACPT	NM_033068	NP_149059	426
ACR	NM_001097	NP_001088	421
ACRBP	NM_032489	NP_115878	543
ACRC	NM_052957	NP_443189	691
ACRV1	NM_001612	NP_001603	265
ACSBG1	NM_015162	NP_055977	724
ACSBG2	NM_030924	NP_112186	666
ACSF2	NM_025149	NP_079425	615
ACSF3	NM_001127214	NP_001120686	576
